GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
everge,bjc.everge,StringUtils,114,253,13,35,18,57,13,16,1,4
everge,bjc.everge,ReplOpts,147,30,30,0,32,10,17,1,2,1
everge,bjc.everge,ReplPair,938,912,92,119,180,223,79,58,2,16
everge,bjc.everge,LogStream,91,54,2,2,34,19,17,9,16,8
everge,bjc.everge,ReplError,72,60,7,1,10,12,6,3,2,3
everge,bjc.everge,ControlledString.ParseStrings,8,15,0,0,1,6,1,1,1,1
everge,bjc.everge,Everge,568,513,57,40,137,111,48,20,3,10
everge,bjc.everge,IntHolder,10,22,0,0,5,7,2,4,2,4
everge,bjc.everge,MirrorOutputStream,62,47,8,4,16,9,8,4,4,2
everge,bjc.everge,ControlledString.Control,134,104,23,23,29,26,21,11,3,6
everge,bjc.everge,Everge.InputStatus,0,34,0,0,0,4,0,1,0,1
everge,bjc.everge,StageStatus,0,34,0,0,0,4,0,1,0,1
everge,bjc.everge,ControlledString,74,144,3,15,17,28,5,11,3,4
everge,bjc.everge,ReplSet,56,69,2,4,12,15,4,5,3,3
everge,bjc.everge,BadReplParse,59,69,6,6,12,16,7,3,2,2
